"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"October 7, 2015","LoopPay","Woburn","Massachusetts","HACK","BSO","0","""Months before its technology became the centerpiece of Samsung’s new mobile payment system, LoopPay, a small Massachusetts subsidiary of the South Korean electronics giant, was the target of a sophisticated attack by a group of government-affiliated Chinese hackers.As early as March, the hackers — alternatively known as the Codoso Group or Sunshock Group by those who track them — had breached the computer network of LoopPay, a start-up in Burlington, Mass., that was acquired by Samsung in February for more than $250 million, according to several people briefed on the still-unfolding investigation, as well as Samsung and LoopPay executives.""","Media","https://www.nytimes.com/2015/10/08/technology/chinese-hackers-breached-looppay-a-contributor-to-samsung-pay.html","2017","42.479262","-71.152277"
"September 1, 2016","New York State Psychiatric Institute","New York","New York","HACK","GOV","21,880","""The New York State Office of Mental Health (OMH) recently announced that one of its facilities experienced a cybersecurity breach, which potentially exposed the records of research participants. Between April 28 and May 4 of this year, certain parts of New York State Psychiatric Institute’s system was accessed by unauthorized individuals, according to an online statement.The information may have included names, addresses, dates of birth, telephone numbers, and email addresses. Social Security numbers, driver’s license or state identification numbers, school, county, and coded health-related information from interviews or questionnaires may have been included in some cases.""","Media","https://healthitsecurity.com/news/ny-psychiatric-institute-cybersecurity-breach-affects-21k","2017","40.712784","-74.005941"
"January 8, 2017","E-Sports Entertainment Association (ESEA)","Cologne","Berlin","HACK","BSO","1,503,710","""E-Sports Entertainment Association (ESEA), one of the largest competitive video gaming communities on the planet, was hacked last December. As a result, a database containing 1.5 million player profiles was compromised.On Sunday, ESEA posted a message to Twitter, reminding players of the warning issued on December 30, 2016, three days after they were informed of the hack. Sunday’s message said the leak of player information was expected, but they’ve not confirmed if the leaked records came from their systems."" ","Media","http://www.csoonline.com/article/3155397/security/esea-hacked-1-5-million-records-leaked-after-alleged-failed-extortion-attempt.html","2017","50.937531","6.960279"
"January 10, 2017","Legal Aid Society of Orange County (LASOC)","Santa Ana","California","DISC","NGO","0","""LASOC developed the I-CAN! web application, which was previously used by individuals, as part of the IRS's Free File Program, to prepare and file tax forms at no cost to the filer.  On October 31, 2016, LASOC became aware that certain completed tax forms from the 2007 and 2008 tax years had become temporarily accessible to the general public through a directed search on certain internet search engines.  However, LASOC is unaware of any attempted or actual misuse of personal data contained within the tax forms that were temporarily accessible on the internet as a result of this incident.What Information Was Involved? As part of the investigation into this incident, LASOC determined a tax form containing the following information about you, as provided by the filer, was temporarily accessible to the general public through a directed search search on certain internet search engines: name and Social Security number.""More information: https://oag.ca.gov/system/files/Legal%20Aid%20Orange%20County%20NOTICE_0...? ","California Attorney General","","2017","33.765160","-117.835264"
"January 3, 2017","MetroPlus Health Plan","New York","New York","DISC","MED","808","As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","","2017","40.706783","-74.005889"
"January 9, 2017","Kevin Harrington, CPA","Rancho Cordova","California","HACK","BSF","0","""On November 11, 2016, I detected that someone may have accessed my computer without authorization. I immediately informed my information technology provider and disabled online access to my computer. I immediately began an investigation, and on November 18, 2016, the information technology firm confirmed that someone accessed client files on my computer without authorization. I immediately notified the Internal Revenue e-File Services Department, the Internal Revenue Service/Criminal Investigation, and the California Franchise Tax Board to prevent any fraudulent activity. Although I am not aware of any fraudulent use of information associated with the event, I encourage you to utilize the services referenced below to monitor your personal information.What Information Was Involved? The following information appears to have been accessed: tax return information which included names, addresses, dates of birth, and Social Security numbers.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65751","California Attorney General","","2017","38.596462","-121.268255"
"January 12, 2017","SwimOutlet.com","Campbell","California","HACK","BSO","0","""On October 31, 2016, we began investigating some unusual activity reported by our credit card processor. We immediately began to work with third-party forensic experts to investigate these reports and to identify any signs of compromise on our systems. On November 28, 2016, we received confirmation of a sophisticated cyberattack in which a hack into our system may have compromised some customers’ debit and credit card data used at www.swimoutlet.com between May 2, 2016-November 22, 2016. The information at risk as a result of this event includes the cardholder’s name, address, phone number, email address, card number, expiration date, and CVV.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65809","California Attorney General","","2017","37.288231","-121.935698"
"January 13, 2017","Children's Hospital of Los Angeles","Los Angeles","California","PORT","MED","3,600","""On December 21, 2016, we learned that a laptop that was stolen from the locked vehicle of a Children’s Hospital Los Angeles Medical Group physician who practices at Children’s Hospital Los Angeles was unencrypted. What Information Was Involved The laptop may have had files on it with your child’s name, date of birth, address, medical record number and some clinical information. We have been working with law enforcement but, to date, they have been unable to find the stolen laptop.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65827More information: http://www.esecurityplanet.com/network-security/three-medical-data-breac...","California Attorney General","","2017","34.052234","-118.243685"
"January 19, 2017","CoPilot Provider Services Inc.","New Hyde Park","New York","HACK","BSO","220,000","""CoPilot maintains a particular website, www.monovischcp.com,1 used by physicians to help determine whether insurance coverage is available for ORTHOVISC® and MONOVISC® injections. This website may have been used by your physician’s office to make an inquiry about your insurance coverage for these injections. On December 23, 2015, CoPilot received complaints claiming that personal information submitted to the site, including health information, was accessible for downloading from the website. CoPilot immediately launched an investigation and retained a leading cybersecurity consulting firm to assist in its investigation of what occurred. As a result of CoPilot’s investigation, CoPilot believes that it identified the individual who accessed CoPilot’s database through unauthorized means and downloaded certain health information, and that the data was not accessible for downloading by the general public from the website. Subsequently, CoPilot referred the matter to law enforcement. Our understanding is that the law enforcement investigation supports CoPilot’s conclusion about the identity of the responsible individual. What Information Was Involved? The data accessed may have contained information such as your name, gender, date of birth, address, phone number, and medical insurance card information. It is important to note that your Social Security number was not included. No medical records, or specific diagnosis or treatment information was involved in this incident, although the fact that your information was in our database, in connection with other information, could suggest that an inquiry was made regarding whether you had insurance coverage for ORTHOVISC® or MONOVISC® injections.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65922More information: http://www.beckershospitalreview.com/healthcare-information-technology/c...","California Attorney General","","2017","40.735102","-73.687908"
"January 20, 2017","Wonderful Center for Health Innovation","Lost Hills","California","PORT","MED","0",""" On December 12, 2016, it was discovered that a laptop containing medical information from the Wonderful Center for Health Innovation was stolen between December 9, 2016 and December 12, 2016.  We promptly reported the incident to law enforcement, and we continue to cooperate with the authorities.  Unfortunately, the laptop has not yet been recovered.The files on the laptop included your full name, home address, date of birth, telephone number, electronic mail (email) address, clinic account number, medical conditions, medical test results, and clinic treatment date (s). We have no received an indication that information on the laptop has been accessed or used by an unauthorized individual, but wanted to alert you of this issue.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-65961","California Attorney General","","2017","35.616349","-119.694294"
"January 27, 2017","eHealth Insurance","Mountain View","California","HACK","BSF","0","""On January 20, 2017, we learned that one of our employees had received a phishing email, which the employee mistakenly believed to be legitimate email from an eHealth executive.  As a result of the phishing email, copies of 2016 employee W-2 forms were provided before we discovered that the request was made from a fraudulent account.  Since we discovered this incident, we have been working to investigate the mitigate its potential impact. What Information Was Involved? A file containing a copy of your IRS Tax Form W-2, was sent in response to the fraudulent email.  An IRS Tax Form W-2 includes the following types of information (1) the employee's name; (2) the employee's address; (3) the employee's Social Security number; and (4) the employee's wage information. No other types of information, such as a bank account information or credit card information, were exposed.""  ","California Attorney General","","2017","37.397129","-122.057617"
"January 30, 2017","Palomar College","San Marcos","California","HACK","EDU","0","""What Happened On January 19, 2017, we learned that an unauthorized individual may have accessed part of our network that contained IRS  Form  W-2s  for  some  of  our  employees.    Upon  learning  of  this,  we  immediately  began  an  investigation  and  contacted law enforcement.      What Information Was Involved Our ongoing investigation has determined that the unauthorized individual may have accessed your IRS Form W-2.  The information that could have been accessed included your name, address, and Social Security number.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66102","California Attorney General","","2017","33.143372","-117.166145"
"February 2, 2017","Sunrun","San Francisco","California","HACK","BSO","0","""What HappenedOn  Friday,  January  20,  a  targeted  email  from  a  scammer  impersonating  me  was  sent  to  our  payroll  department  requesting  employee  W-2s.  Unfortunately,  the  phishing  email  wasn’t  recognized  for  what  it  was  –  a  scam  –  and  employee W-2s for 2016 were disclosed externally.    What Information Was InvolvedWe have determined that the 2016 W-2s for our current and former employees were affected by this incident.  These W-2 forms include your name, address, Social Security number, salary, and taxes withheld for 2016.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66148","California Attorney General","","2017","37.774930","-122.419416"
"February 2, 2017","DBM Global","Phoenix","Arizona","PORT","BSO","0","""On January 7, 2017, our Phoenix office was burglarized and one employee laptop was stolen.  We contacted law enforcement and conducted an investigation.  What Information Was Involved? The stolen laptop data may have included personal information such as employee, former employees, and their  respective  dependents  from  December  2014  to  present.    Specifically,  the  information  may  have  included:  name,  address,  social  security  number,  employee  identification  number,  date  of  birth,  and  direct  deposit  bank  information.  The  stolen  data  may  also  have  included  name,  address,  social  security  number  and date of birth for dependents of the employees and former employees.""More information: https://oag.ca.gov/ecrime/databreach/reports/sb24-66150","California Attorney General","","2017","33.510987","-112.016540"
